,id,lstm_deviation,bayes_deviation,user_sentiment,review_id,review
0,1,0.6300886210305499,0.11584056421588151,0.7,3,"Despite the title and unlike some other stories about love and war, this film isn't too sticky and pink, because love is as a rose: With thorns, that is. The four leading actors set their characters realistic and with a good sense and balance between the tragic and the down-to-earth. <br /><br />The music and lyrics of the cabaret/chanson-esquire songs (sung b Keira Knightley herself) drag the viewer deeper and deeper in the film, from one place to another, between the brutal war and amongst the peaceful love. Some people may find it too much a biopic, but it ís mostly a romantic story, even though it consequently follows the life of Dylan Thomas and the triangular relationship which is steeped by joy and jealousy. <br /><br />London gets visualized from another angle for once, the bohemian life of Dylan during the bombings of the Germans is set in a floating atmosphere of small bedrooms, pubs and bars. The independent women, the soldier and the charismatic poet are constantly swept in both feelings of love and anger. <br /><br />Maybe the end is too twisted and hangs somewhat loosely to the rest of the film, but all in all this is a great romantic story."
1,2,0.12786147003055004,0.10444027401421052,0.75,5,"So keira knightly is in it...So automatically we compare this film to attonement. Aside rom the fact that this film is also wartime and her appearance is uncanning, these films are totally different.<br /><br />The Actors work well, i think one good thing is there is no memorable person, they are a team.<br /><br />If you want a film where things happen, then id advise another as the story of this film is about human interaction and their physche's damaged by their experiences and how their lives are intertwined.<br /><br />This film have genuine interaction, perfect pause moments that make you hold your breath. No its not exciting, but it is gripping if you can empathise with these characters. At moments i wondered if this film may have been better as a theatrical play rather than a movie. We expect a lot from movies as everything is possible, and yet with theatre we allow for interaction and rely on belief.<br /><br />There are things wrong with it if your looking for a blockbuster, if you look for nothing and allow the film to take you in, move you, allow yourself to forget these stars, and not to judge them as actors but let them become people, you will truly ind yourself moved.<br /><br />GO ON!! give it a go!"
2,3,0.07651077290380404,0.18354931676267627,0.95,555,"Chan-wook Park, you have to hand it to the guy. In my eyes, he's not only a brilliant director but a brilliant director who can turn his hand to any genre and often provides something refreshing yet still ultimately satisfying.<br /><br />Thirst is, essentially, a vampire tale but one that plays fast and loose with some of the ""rules"" of the subgenre. Kang-ho Song plays Father Sang-hyeon, a man who unselfishly gives himself over to a research program and then unselfishly kind of catches the disease they are trying to cure, dies and comes back. All thanks to the blood he was transfused with. Being the only one out of five hundred to survive, he becomes quite the celebrity to those who know him and all he wants is to get back to normal. Normal, however, now involves being able to leap great distances without injury, wanting to drink blood and getting severely hot under the collar when rays of sun get on his skin. It's not long before he's living with a rather dysfunctional family unit who knew him in his childhood and while he hides his new, strange lifestyle he finds himself drawn into a complex love triangle, becoming more acceptable of darker thoughts and sliding down a slippery slope that could lead him from man to beast to monster.<br /><br />Deftly blending a number of genres, Park's movie felt much fresher and more original to me than Let The Right One In (to use a recent example) and genuinely impressed me with it's approach to material that could easily have felt as well-worn and rehashed as any number of other vampire movies we've seen over the years. It's a mixture of horror, melodrama and comedy while also pondering ideas such as strength of faith, the power over life and death, the downside of immortality, etc, etc.<br /><br />Some people have complained that this genre-blending approach weakens the movie but I personally found that it was a lively, entertaining and always enjoyable movie helped by a great central performance from Song as the tortured priest and fantastic turns from a supporting cast with no weak links. Many characters get to move through a range of emotions and all do so with skill and believability, especially the young woman (played by OK-vin Kim) who becomes the object of the priest's love, lust and affection.<br /><br />Fans of Asian cinema (and Park in particular) and also fans of Poe's ""The Tell-tale Heart"" (watch and learn) should lap this up, it's yet another classy movie from a man who seems to take everything in his stride and always manages to put out nothing less than solid entertainment.<br /><br />See this if you like: Cronos, Near Dark, Dellamorte Dellamore AKA Cemetery Man."
3,4,0.130120450369,0.16277252852032065,0.15,4000,"1983's ""Frightmare"" is an odd little film. The director seems to be trying to combine the atmosphere of classic '30s/'40s style horror movies with the shock factor of the then-exploding '80s slasher genre. It isn't totally successful (mostly due to very obvious budgetary restraints, and the less-than-professional caliber of its cast of young actors) but it still has its moments, mostly due to the classy performance (classier than the movie deserves) by the late German actor Ferdinand Mayne, who plays an aging old time horror movie star (ala Vincent Price) named ""Conrad Ratzoff."" At the beginning of the movie we meet the has-been horror star as he's shooting a commercial for dentures and we quickly learn that ol' Conrad is a bit of a hoity-toity, prima donna jerk-off. Just when you think he couldn't be any more un-likable, the commercial director berates Conrad for blowing a take for the umpteenth time and the old goat pushes him off a balcony to his death. Nice, huh? Conrad then visits some fans at a college campus horror movie club, unfortunately he suffers a heart attack in the middle of his speech to them and eventually ends up back at his mansion waiting to die. Still feisty even at Death's door, he manages to do away with a despised business associate by smothering him with a pillow before he finally kicks the bucket himself. Conrad is then laid to rest in true Hollywood style in a high tech neon tomb with video screens above the casket, which will play personal video messages from Conrad himself for visitors who enter to pay their respects.<br /><br />It is at this point that the kids from the college Horror Movie Society decide to pay Conrad's grave an after hours visit, breaking into the tomb and taking his body back home with them for an all night party. (Not exactly my idea of fun, but hey, these are characters in an '80s horror film. Logic has no place here.) The college kids spend the evening having dinner with Conrad's body seated in a place of honor, posing for photos with it and even dancing around the room with it, before parking Conrad and his coffin in the attic, planning to return him to his crypt in the morning. In the meantime, Mrs. Ratzoff, distraught over the theft of her husband's body, has called in a psychic friend to try and ""reach"" Conrad through a seance. You can pretty much figure out the rest from here. Since Conrad wasn't a very nice guy in life, it's not much of a stretch to assume that he won't be any friendlier in death. Psychic Lady makes contact with Conrad and he re-awakens in predictably ticked off fashion, then spends the rest of the movie strolling around the corridors of the students' ridiculously huge house, picking off the young grave robbers one by one. This is where the movie falls apart. Endless scenes of teens wandering around empty hallways saying ""Hello? Is anyone there?"" are intercut with occasional bursts of violence (we do get a pretty gnarly decapitation scene, which is the highlight of the movie) before the last two survivors finally figure out (WAY later than any semi-intelligent people would have figured out the same thing...but again, we're in an '80s horror film!) that the only way to stop the mayhem is to get Conrad's body back to its crypt where it belongs. The sluggish pacing is padded out with a lot of weird lighting and dry ice fog effects backed by a soundtrack made up almost entirely of sound effects rather than music(thunder, moans and groans, howls, etc.) that becomes severely annoying after a while.<br /><br />I can't really recommend ""Frightmare"" to anyone who didn't grow up watching cheap movies like this on late night cable back in the '80s. ""Modern Horror"" fans will doubtlessly find ""Frightmare"" incredibly slow moving and goofy. If you came of age in that magical decade, however, you may get a blast of nostalgia from ""Frightmare."" Fans of Jeffrey (""Re-Animator"") Combs may also want to check it out, as the future Dr. West appears in an early role here as one of the unlucky film students.<br /><br />I will advise the reader to avoid the version of this film on the EastWestDVD label (paired with Roy Ward's ""Vault of Horror"" and sold at dollar stores) because the print quality is terrible. I'm told the film has gotten a deluxe release via the fine folks at Troma, which seems appropriate. If you're a Troma kind of person then ""Frightmare"" will be right up your alley."
4,5,0.14786102003055002,0.3297876443742819,0.9,378,"SPOILER ALERT! Don't read on unless you're prepared for some spoilers.<br /><br />I think this film had a lot beneath its shell. Besides the apparent connections with ""Oldboy"" (and Park-wook's other films), an incestuous relation in this one really disturbed me, and also the subtle erotic theme that hung around all the vampiric, physical action.<br /><br />The main actor, Kang-ho Song, is terrific in the rôle of the priest Sang-hyeon - coincidentally, ""sang"" means ""blood"" in some languages - who truly loved Tae-ju, played by OK-bin Kim. Their relationship reminds me a lot of that between Martin Sheen and Sissy Spacek in ""Badlands"", where the girl appears psychopathic and the man is basically wrapped around her finger.<br /><br />Their relationship is one thing, but the girl's mother is entirely different. While moving, she is stiff, one-dimensional and taut, but paralysed, she says all through not moving, or through the wink of an eye.<br /><br />Park-wook has really, really mastered his cinematography in this film, and owes a lot to Stanley Kubrick; there are a whole lot of beautiful shots strewn throughout the film, some for simple effects and some that require several glances and probably repeated views to fully catch.<br /><br />The music is quite stock, using mostly strings to accompany the main thespian's monoreaction; it's a very good thing that the character is as withdrawn as he is. While he does very little and loses at that, he seems to instead be a person who thinks a lot. While his love-interest says and does a lot, her actions display very little thought behind it. In my humble opinion.<br /><br />All in all, a very disturbing film that is not made for action, which isn't even in the same dimension as most things that are about vampires these days; it's magnificent, and repellant at the same time."
5,6,0.0,0.12520298470061983,0.25,2500,"Lonesome Dove is my favorite western second only to The Searchers with John Wayne. I watch Lonesome Dove about every 6 months and never get tired of it. I have read all the LD books, although I cannot remember much of Comanche Moon. I too looked forward to this mini-series and decided to tape it on our DVR so we could fast forward through commercials. Unfortunately, I messed up and didn't record the first part, but decided to watch the other parts and try to pick up.<br /><br />There is nobody that can ever compete with Robert Duvall or Tommy Lee Jones, and I was expecting to be disappointed and I was.<br /><br />Although there were so many things that didn't ring true, the most apparent to me was when Nellie died the day before and Gus was out on the range, it switched over to Clara writing him a letter from Nebraska telling him how sorry she was to hear of her death. How in the world could she have known the next day way out in Nebraska? Additionally, it was supposed to be 7 years later after her leaving and her children looked to be about 6-7 years old, maybe a little younger, yet more time went on before they actually moved to Lonesome Dove, and in Lonesome Dove they had been there about 10 years or longer before leaving to Montana. When they stopped at Clara's in Nebraska, which probably took another 6 months on the trail, the girls looked to be about 10-13, since they were playing in the yard like little children. The math just does not add up.<br /><br />I agree that the man who played Gus had a lot of his mannerisms and looked a little like Gus may have looked as a young man.<br /><br />I am also a little confused about one thing. The captive white girl that they brought back - was she the one they captured when they raided Austin? They said she had been captured 25 years ago, but if she was the one captured in Austin, it was only 7 years later when this took place in the movie. Was she captured earlier? I remember seeing a captive girl after they raided the town and don't know if this is the same one. If someone can explain since I missed Part 1. If it had been 25 years, she would probably be over 40 years old when they found her since she looked to be grown lying on the ground. Also, the way they were ravaging her when they captured her, it is hard to believe she would have lived to go on to be married and having Indian children.<br /><br />I have to admit though, nothing is worse than John Voight playing Call in the sequel to Lonesome Dove or the unbelievable marriage of Lorena to Pea Eye in the McMurty sequel to Lonesome Dove, which was never explained either. Also, the way he killed Newt off was I hear from spite for them doing the sequel with John Voight without his approval.<br /><br />If anyone can clear up these discrepancies, I would appreciate."
6,7,0.0,0.27938708941251855,0.1,2345,"This film was sheer boredom from beginning to end. Ok, so i salute Boorman for raising the worldwide recognition of events in Burma, but that is all he achieves. About 10 minutes into the film i thought ""oh no, here we go again"", and i could have told you exactly what was going to occur in the next 80 minutes or so. Patricia Arquette was out of her depth in such a role, and her acting was wooden and unconvincing. Mind you, being saddled with such an awfully conventional script, maybe boredom set in, and was such reflected on the screen. A lot of the film was just plain laughable. At one stage, Arquette's elderly companion is shot, and he is prostrate on the ground. In the next scene, he is sprinting through the forest, obviously attempting to break the world 100 meters record! - or maybe he's just trying to run away from Boorman!!. If you find it hard to sleep one night then play Beyond Rangoon on your VCR and you'll be snoring in no time. I very rarely critisize a film as heavily as this, but in this case it is completely justified."
7,8,0.14786102003055002,0.5033298482856883,0.65,456,"The definition of a vampire is an inhumane corpse supposed to leave its grave at night to drink the blood of the living. Bakjwi nearly nails this concept on the head minus the cliché of pointy fangs and neck biting. Being an R rated movie, I knew this was actually going to pertain to vampires actually being vampires. Which means that the characters in the movie are going to do what vampires actually do without restraint and rightfully lack any glamorous moments in comparison to Twilight. Having viewed Chan-wook Park's preceding Oldboy, I had very high expectations of Bakjwi.<br /><br />I anticipated some awkward plot sequences with our anti-hero, known as Priest Sang-hyeon, and was very impressed by his performance as a holy-man who is forced into this quandary of being humane and obeying his thirst as a vampire. (SPOILER) After the initial premise of him surviving the defective blood transfusion, he starts to crave blood and discovers his super strength and his flying ability. The screen shots do his transition phase without overbearing on exposition. He starts drinking the blood of the dying and those who wish to be euthanized for moral reasons. The oft tragic and dysfunctional love affair the priest has with the manipulative Tae-joo is very riveting as they are played by The Host's Kanh-ho Song and actress OK-vin Kim. The special effects are properly placed in the backdrop and while it doesn't offer anything new in the ways of stunts and CGI, it didn't impose itself into the plot driven and character developed premise. The story and the pivotal plot points are very perverse and grotesque yet very original in its own Korean style. <br /><br />There aren't many negatives I can say about Bakjwi. Sometimes I ask myself if the priests transition phase could have showed more of the priest having an emotional crisis with his transformation, but then again this would have made the movie 3 hours long. The movie was long to begin with. On the same token, vampires really don't have much in the way of expressing emotions to begin with. As mentioned before, this movie is very tragic, so don't expect anything hopeful while watching this. <br /><br />Overall, Bakjwi is delightfully dark, morbid and original. I strongly recommend this movie for serious viewers who are past the teenage phase of Twilight. This is definitely the Korean answer to the Swedish Let The Right One In, which is also a good movie."
8,9,0.09189092013060701,0.5212274661283296,0.38,3487,"How on earth can you have such fantastic actors in such a miserable creation? This is one of the most stylized pieces of rubbish I have seen in a long time. Not only is it poorly written, it is a product of shoddy direction and editing. The cinematography is so horribly manipulative and unoriginal and the montage jumbled beyond belief. The actual ideas behind the plots (cloning, toxic waste, climate change) are all fine to begin with but where the production/direction team takes them is a big cesspool of filth, the likes of which are seen in one episode. And this is a Scientific series? I am a physician and all I can say is that the science in this film is utter crap, almost embarrassing to watch. I really felt bad for the actors involved since they were all extraordinary."
9,10,0.14786102003055002,0.5657674975076784,0.62,328,"Having seen other Bollywood flicks with Salman Khan in them, I can say this is my favorite of the more recent ones. The songs are all quite fun, especially 'O Priya O Priya' which seems to have a nice mix of Beatles, Indian music and (dare I say this) a bit of Prince. The love stories are a bit more believable than, say, Chal Mere Bhai. The occasional focus on Prem's use of alcohol is at times troubling as it doesn't really seem to make sense to me, but it's played well by Khan--although his voice does become squeaky when he's portraying drunkenness."
